Artist,Song Name
Christopher Cross,Ride Like the Wind
Christopher Cross,Sailing
Blue Öyster Cult,(Don't Fear) The Reaper
Zac Efron & Zendaya,Rewrite the Stars
Justin Bieber,What Do You Mean?
Charlie Puth,Attention
Charlie Puth,The Way I Am
Madonna,Crazy for You
Nick Jonas,Home (Film Version)
Fleetwood Mac,Dreams
The Doobie Brothers,You Belong To Me
98°,I Do (Cherish You)
Mariah Carey,We Belong Together
Tinashe,Superlove
Sting,Christmas At Sea
Sting,Desert Rose
James Taylor,Jingle Bells
Paul & Paula,Hey Paula
Lady A,Dancin' Away With My Heart
Lloyd Williams,Shama Lama Ding Dong
Stephen Bishop,Animal House
Donnie Iris,Ah! Leah!
Tove Lo,Talking Body
Norah Jones,December
Jermaine Stewart,We Don't Have to Take Our Clothes Off
"Celtic Woman, Mairead Nesbitt, Chloe Agnew, Lisa Kelly, Méav & Órla Fallon",O' Come All Ye Faithful
John Belushi,Money (That's What I Want)
Drake,"Hold On, We're Going Home (feat. Majid Jordan)"
Chris Montez,Let's Dance
John Waite,Change
One Direction,Perfect
Stephen Bishop,Dream Girl
38 Special,Hold On Loosely
Genesis,Turn It On Again
Sting,Fields of Gold
Kiana Ledé,Big Spender (feat. Prince Charlez)
Johnny Croot and Friends,Brandy [ Your a Fine Girl]
Van Halen,Dreams
The Beach Boys,Little Saint Nick
Sting,Fragile
Chantal Kreviazuk,Feels Like Home
Gloria Estefan & Miami Sound Machine,Anything for You
The Police,Every Little Thing She Does Is Magic
Jason Derulo,Want to Want Me
The Police,"De Do Do Do, De Da Da Da"
David Bowie & Bing Crosby,Peace On Earth / Little Drummer Boy (Medley)
New Radicals,You Get What You Give
Sting,Brand New Day
Keith Urban,Somebody Like You
The Chipmunks,The Chipmunk Song (Christmas Don't Be Late)
Sting,If You Love Somebody Set Them Free
Jackson 5,ABC
Keith Urban,Lucky Charm
Justin Bieber,Mistletoe
Jess Glynne,My Love (Acoustic)
Keith Urban,The Fighter (feat. Carrie Underwood)
Maroon 5,Happy Christmas (War Is Over)
Bruno Mars,Treasure
Phil Collins,Can't Stop Loving You
Jackson 5,Frosty the Snowman
Donny Hathaway,This Christmas
Electric Light Orchestra,Evil Woman
Robert Shaw Chorale,Hallelujah Chorus
38 Special,Caught Up In You
Royal College of Music Chamber Choir,The Twelve Days of Christmas
Justin Timberlake,"CAN'T STOP THE FEELING! (Original Song From DreamWorks Animation's ""TROLLS"")"
Pretenders,2000 Miles
Bruce Springsteen,Santa Claus Is Coming to Town
DJ Snake,A Different Way (feat. Lauv)
Dan + Shay,Speechless
Kelly Clarkson,My Grown Up Christmas List
Jason Derulo,The Other Side
Band Aid,Do They Know It's Christmas?
Vaughn Monroe and His Orchestra,Let It Snow! Let It Snow! Let It Snow!
Whitney Houston,Who Would Imagine a King (feat. The Nativity Choir)
Philadelphia Brass Ensemble,Deck the Halls
Chip Davis,Deck the Halls
Mannheim Steamroller,Hark! The Herald Angels Sing
The Philadelphia Orchestra,"The Nutcracker, Op. 71, Act I: March from the Wooden Soldier"
Harry Simeone Chorale,The Little Drummer Boy
Paul van Dyk,Time of Our Lives (feat. Vega4)
Carolina Liar,I'm Not Over
"Nat ""King"" Cole",The Christmas Song (Merry Christmas to You)
The Sneepers,Guardians Inferno (feat. David Hasselhoff)
Bing Crosby,White Christmas
Andy Williams,It's the Most Wonderful Time of the Year
Parliament,Flash Light
Johnny Mathis,Do You Hear What I Hear (feat. Susan Boyle)
Dean Martin,"Baby, It's Cold Outside"
Frank Sinatra,Have Yourself a Merry Little Christmas
Leroy Anderson,Sleigh Ride
Perry Como,Home for the Holidays
Pentatonix & Maren Morris,When You Believe (with Maren Morris)
Burl Ives,A Holly Jolly Christmas
Kenny Loggins,This Is It
Toto,Africa
Peter Frampton,Baby I Love Your Way
Maroon 5,Nobody's Love
Little River Band,Cool Change
